product_name,active_ingredient,quantity,pack_size_value,pack_size_unit,batch_number,mfg_date,expiry_date,supplier,storage_location,date_received,month,received_by,remarks
PROTEX,,4,250,ml,202/2024,14-Mar-24,14-Mar-26,SOLUCIONES AGRICOLAS,A1,,,,
PROTEX,,1,1,L,202/2024,14-Mar-24,14-Mar-26,SOLUCIONES AGRICOLAS,A1,,,,
BISPRYBAC SODIUM,,6,1,l,20231101,01-Nov-23,31-Oct-25,CROP ALLIANCE,A1,,,,
FLUROXYPYR 25EC,,3,250,ml,20240301,01-Mar-24,01-Mar-26,CROP ALLIANCE,A1,,,,
HALOXYFOP P EC 108 g/L,,5,100,ML,20240203,03-Feb-24,02-Feb-26,CROP ALLIANCE,A1,,,,
BACILLUS AMYLOLIQUEFACIENS,,2,1,L,202312-2,02-Dec-23,01-Dec-25,CROP ALLIANCE,A1,,,,
QUIZALOFOP P ETHYL 100 EC,,2,500,ml,20231212,12-Dec-23,11-Dec-25,CROP ALLIANCE,A1,,,,
CHLORANTRANILIPROLE 100 g/L + ABAMECTIN 200 g/L,,1,900,ml,20240401,01-Apr-24,01-Apr-26,CROP ALLIANCE,A1,,,,
ADJUVANT,,2,250,ml,20231205,05-Dec-23,04-Dec-25,CROP ALLIANCE,A1,,,,
CHLOFENAPYR 10% + ABAMECTIN 4% SC,,2,250,ml,202312-4,04-Dec-23,03-Dec-25,CROP ALLIANCE,A1,,,,
BISPRYBAC SODIUM + CYHALOFOP 200 OD,,1,1,L,20231202,02-Dec-23,01-Dec-25,CROP ALLIANCE,A1,,,,
CALCIO 10% L,,4,1,L,,01-Feb-24,31-Jan-26,#N/A,A2,,,,
EVEREST,,1,1,L,,01-Feb-24,31-Jan-26,SERASCA,A2,,,,
OLIGO 5% + CHITOSAN 5% + S.A 1% SL,,7,250,ml,20230802-1,02-Aug-23,01-Aug-25,CROP ALLIANCE,A2,,,,
TYPHON,,4,1,L,23071402,14-Jul-23,13-Jul-25,#N/A,A2,,,,
NANO CAL,,3,1,L,F230123B,03-Dec-23,02-Dec-25,#N/A,A2,,,,
MEFENOXAM 480 SL (Yellow Liquid),,1,1,L,20240802,02-Aug-24,02-Aug-26,CROP ALLIANCE,A2,,,,
MEFENOXAM 480 SL (Red Liquid),,9,500,ml,2024801,01-Aug-24,01-Aug-26,CROP ALLIANCE,A2,,,,
MEFENOXAM 480 SL (Yellow Liquid),,1,250,ml,20240802,02-Aug-24,02-Aug-26,CROP ALLIANCE,A2,,,,
TEA TREE OIL,,8,250,ml,20241101,01-Nov-24,01-Nov-26,#N/A,A2,,,,
MEFENOXAM 480 SL (Yellow Liquid),,1,146,ml,20240802,02-Aug-24,02-Aug-26,CROP ALLIANCE,A2,,,,
PYRACLOSTROBIN 250 EC,,2,1,L,20250120,20-Jan-25,20-Jan-27,CROP ALLIANCE,A2,,,,
SILICON RH-284,,9,50,ml,20241102,02-Nov-24,02-Nov-26,#N/A,A1,,,,
AGRICULTURAL SILICON OIL,,1,500,ml,,04-Sep-22,03-Sep-24,#N/A,A1,,,,
IAA,,3,100,g,,,30-Dec-01,CROP ALLIANCE,C3,,,,
SALICYLIC ACID,,5,100,g,202312-7,07-Dec-23,06-Dec-25,#N/A,C3,,,,
CHITOSAN,,5,100,g,202312-1,01-Dec-23,30-Nov-25,#N/A,C3,,,,
PAENIBACILLUS POLYMYXA + BASILLUS SUBTILIS,,2,1,kg,202312-6,06-Dec-23,05-Dec-25,#N/A,C3,,,,
POLYSULPHATE,,2,25,kg,,,30-Dec-01,#N/A,C2,,,,
FARMFIX GIBBERELLIC ACID,,7,250,g,20240725-1,25-Jul-24,25-Jul-26,CROP ALLIANCE,C1,,,,
FARMFIX GIBBERELLIC ACID,,1,500,g,20240725-2,25-Jul-24,25-Jul-26,CROP ALLIANCE,C1,,,,
FARMFIX GIBBERELLIC ACID,,8,250,g,20240725-2,25-Jul-24,25-Jul-26,CROP ALLIANCE,C1,,,,
MIP 100,,8,60,g,150823,15-Aug-23,14-Aug-25,#N/A,C1,,,,
CLOTHIANIDIN 1.2% + CHLORANTRANIPROLE 0.4%,,8,1,kg,202301201,20-Jan-23,19-Jan-25,CROP ALLIANCE,C1,,,,
ACOJIN 80WP,,1,2,kg,32524,25-Mar-24,25-Mar-26,#N/A,C3,,,,
ASTRON,,5,1,L,181224,18-Dec-24,18-Dec-26,#N/A,A2,,,,
PROPINEB 70WP,,1,500,g,20231206,06-Dec-23,05-Dec-25,#N/A,C4,,,,
FARMFIX ETHEPHON 75SL,,2,250,ml,20230804,04-Aug-23,03-Aug-25,#N/A,A2,,,,
UPSHOT 480SL,,1,1,L,20230525,25-May-23,24-May-25,CROP ALLIANCE,A1,,,,
VERNO Cu30 + Zn30,,3,1,kg,,,30-Dec-01,Allied Botanical,C3,,,,
MAHASTRA,,6,250,ml,,01-Aug-22,31-Jul-24,#N/A,,,,,
ACOJIN 80WP,,40,500,g,20241130,30-Nov-24,30-Nov-26,CROP ALLIANCE,C2,,,,
VERNO Cu30 + Zn30,,4,250,g,,,30-Dec-01,Allied Botanical,LAB,,,,
TURBO ROOT WG,,1,1,kg,,05-Mar-24,05-Mar-26,ROVENSA,LAB,,,,
NORDOX 75WG,,3,250,g,,20-Jan-23,19-Jan-25,Allied Botanical,LAB,,,,
FYTOFERT (2nd Source: China Manifactured),,1,500,g,,12-Oct-24,12-Oct-26,#N/A,LAB,,,,
FRUIT BAG,,2.5,,kg,,,30-Dec-01,#N/A,LAB,,,,
GIBBERILLIC ACID (CHINA SOURCE),,1,1,kg,,,30-Dec-01,CROP ALLIANCE,LAB,,,,
FARMFIX MANCOZEB 80WP,,24,1,kg,,30-May-24,30-May-26,#N/A,C1,,,,
ICC,,20,,L,,,30-Dec-01,#N/A,,,,,
FYTOFERT PHOSCO,,15,1,kg,CF04609231,20-Sep-24,20-Sep-26,CERADIS,LAB,,,,
COBALT ACETATE,,9,,kg,,,30-Dec-01,#N/A,LAB,,,,
CHLORPYRIFOS MB,,11.5,,kg,,,30-Dec-01,#N/A,LAB,,,,
SILWET 408,,3,1,L,,,30-Dec-01,#N/A,A1,,,,
Delfan Plus,,200,1,L,,,30-Dec-01,ROVENSA,Warehouse,,,,
PROTEX,CaO and N,10,1,L,646/24,01-May-24,01-May-26,SOLUCIONES AGRICOLAS,B1,25-Apr-25,April,FDC,
TURBO ROOT WG,,10,1,Kg,24L1740,,25-Apr-27,ROVENSA,C1,25-Apr-25,April,FDC,
GA3-1B,GA3 2% + IBAK 3% + Brassinolide 0.01% TB,6,1,tablet,20250302,02-Mar-25,02-Mar-27,CROP ALLIANCE,LAB,25-Apr-25,April,FDC,
Humic Acid (Biostimulant TB),Humic Acid 10% + Fulvic Acid + Amino Acid 7%,10,1,tablet,20250315,02-Mar-25,02-Mar-27,CROP ALLIANCE,LAB,25-Apr-25,April,FDC,"For Dole Phil, DMPI, LADC"
FYTOFERT PHOSCO,,25,1,kg,CF042609244,26-Sep-24,26-Sep-26,,LAB,25-Apr-25,April,FDC,No STA
Polyversum (Oil dispersion),Phythium oligandrum,45,100,ml,,26-May-25,26-May-27,,B1,26-May-25,May,FDC,No STA
Naturamin WSP,,1,1,kg,,,26-May-27,Harbest,Lab,26-May-25,May,FDC,No STA
Nature Complete,,1,25,kg,,,26-May-27,Harbest,Lab,26-May-25,May,FDC,No STA
FLUROXYPYR 25EC,,50,1,L,,,14-Jun-27,CROP ALLIANCE,B1,14-Jun-25,June,FDC,
FARMFIX ETHEPHON 75SL,,12,1,L,,,14-Jun-27,CROP ALLIANCE,B1,14-Jun-25,June,FDC,
NEB 88 ULTRA,Root Exudates (OM: 35 - 40%),7,6,ml,,01-Jan-24,31-Dec-25,Allied Botanical,B1,14-Jun-25,June,FDC,Conduct Preliminary efficacy test
BOSCALID,Boscalid 500 g/L SC,1,1,L,24122816,,14-Jun-27,,Lab,14-Jun-25,June,FDC,Received from sir Weng/No sta/For Preliminary Test
PROPINEB 70DF,Propineb,1,1,kg,25021904,19-Feb-25,19-Feb-27,,Lab,14-Jun-25,June,FDC,Received from sir Weng/No sta/For Preliminary Test
BANACORE,Cinnamaldehyde,2,1,L,,,19-Jul-27,DAYMSA,Lab,19-Jul-25,July,FDC,"Product for Testing (Miscibility, Phytox etc..)"
TURBO ROOT WG,,5,1,Kg,25F1265,,19-Jul-27,ROVENSA,C3,19-Jul-25,July,FDC,Samples for SUMIFRU & DMPI
AA1,"AA (14%), + (B+Zn+Fe+Cu : 2%), + OM (9%)",1,1,L,20250610,,19-Jul-27,CROP ALLIANCE,B3,19-Jul-25,July,FDC,Rate: 1 - 2 L/ha
AA2,"TAA (42%), ON (7%), TP (36%), B+Zn+Fe+Cu (2%), OM (9%)",1,1,L,20250619,,19-Jul-27,CROP ALLIANCE,B3,19-Jul-25,July,FDC,Rate: 1 - 2 L/ha
AA3,"AA (35%), N (7.8%)",1,1,L,20250603,,19-Jul-27,CROP ALLIANCE,B3,19-Jul-25,July,FDC,Rate: 1 - 2 L/ha
AA4,"OM (24%), SE 15%, LAA 11%, N (5 - 6%), Mn + Zn +B + Fe + Mo",1,1,L,20250630,,19-Jul-27,CROP ALLIANCE,B3,19-Jul-25,July,FDC,Rate: 1 - 2 L/ha
AA5,"OM 20%, N 10%, AA 20%, FA 15%",1,1,L,20250617,,19-Jul-27,CROP ALLIANCE,B3,19-Jul-25,July,FDC,Rate: 1 - 3 L/ha
AA6,"OM 20%, N 4%, LAA 20%, SE 25%, SP 15%",1,1,L,20250618,,19-Jul-27,CROP ALLIANCE,B3,19-Jul-25,July,FDC,Rate: 1 - 2 L/ha
AA7,"FAA 10%, TSF 50%, N 7%, Zn + B + Mo",1,1,L,20250520,,19-Jul-27,CROP ALLIANCE,B3,19-Jul-25,July,FDC,Drip irrigation or Flushing: 1 - 3 L/ha
AA8,"OLI 5%, CHI 5%, SA 1%, N 7%, AA 10%, Mo 0.01%, Mn + Zn + B 2%)",1,1,L,20250511,,19-Jul-27,CROP ALLIANCE,B3,19-Jul-25,July,FDC,Rate: 1 - 2 L/ha
Nano Zn,Nano Zn 15%,1,1,L,20241227,,19-Jul-27,CROP ALLIANCE,B3,19-Jul-25,July,FDC,
Nano Copper,Nano Cu 15%,1,1,L,1131015,,19-Jul-27,CROP ALLIANCE,B3,19-Jul-25,July,FDC,
Nano Silver,Nano Silver 15%,1,1,L,BBEAFAC,,19-Jul-27,CROP ALLIANCE,B3,19-Jul-25,July,FDC,
Betaines RD (Enzyme Based),,1,100,ml,,,04-Aug-27,Fresh Harvest Philippines Inc.,A1,04-Aug-25,August,FDC,Conduct Preliminary efficacy test on banana seedlings
Dynamic (Bio Nutrition for Plant),,1,100,ml,,,04-Aug-27,Fresh Harvest Philippines Inc.,A1,04-Aug-25,August,FDC,Conduct Preliminary efficacy test on banana seedlings
Liquid Urea,46% N,1,250,ml,,,04-Aug-27,Fresh Harvest Philippines Inc.,A1,04-Aug-25,August,FDC,Conduct Preliminary efficacy test on banana seedlings
Metsulfuron,,5,1,kg,,,04-Aug-27,CROP ALLIANCE,C1,04-Aug-25,August,FDC,Samples for DMPI
FYTOFERT PHOSCO,,25,1,kg,CF042609244,26-Sep-24,26-Sep-26,CERADIS,C1,04-Aug-25,August,FDC,
Clethodim 240EC,Clethodim,5,1,L,20250718,18-Jul-25,18-Jul-27,CROP ALLIANCE,A1,05-Sep-25,September,FDC,Samples for DOLE PHIL and DMPI
HALOXYFOP P EC 108 g/L,Haloxyfop-P-Methyl,5,1,L,G2025070055,18-Jul-25,18-Jul-27,CROP ALLIANCE,A1,05-Sep-25,September,FDC,Samples for DOLE PHIL and DMPI
NEB 88 ULTRA,Root Exudates (OM: 35 - 40%),3,1,L,,,08-Sep-27,Allied Botanical,A2,08-Sep-25,September,FDC,"Samples for DMPI, SUMIDRU & DOLE"
Foliveex,"Zn (10%), LAA (1%)",5,5,L,012507,17-Jul-25,17-Jul-27,SERASCA,A2,28-Oct-25,October,FDC,Subject for Inhouse Trial for Biostimulation
PRO-UV,Ca and N,15,1,L,2000/25,09-Sep-25,09-Sep-27,SOLUCIONES AGRICOLAS,B1,03-Nov-25,November,FDC,
AA1,"AA (14%), + (B+Zn+Fe+Cu : 2%), + OM (9%)",1,250,ml,20250610,,19-Jul-27,CROP ALLIANCE,B2,19-Jul-25,July,FDC,repacked from 1 L sample
AA2,"TAA (42%), ON (7%), TP (36%), B+Zn+Fe+Cu (2%), OM (9%)",1,250,ml,20250619,,19-Jul-27,CROP ALLIANCE,B2,19-Jul-25,July,FDC,repacked from 1 L sample
AA3,"AA (35%), N (7.8%)",1,250,ml,20250603,,19-Jul-27,CROP ALLIANCE,B2,19-Jul-25,July,FDC,repacked from 1 L sample
AA4,"OM (24%), SE 15%, LAA 11%, N (5 - 6%), Mn + Zn +B + Fe + Mo",1,250,ml,20250630,,19-Jul-27,CROP ALLIANCE,B2,19-Jul-25,July,FDC,repacked from 1 L sample
AA5,"OM 20%, N 10%, AA 20%, FA 15%",1,250,ml,20250617,,19-Jul-27,CROP ALLIANCE,B2,19-Jul-25,July,FDC,repacked from 1 L sample
AA6,"OM 20%, N 4%, LAA 20%, SE 25%, SP 15%",1,250,ml,20250618,,19-Jul-27,CROP ALLIANCE,B2,19-Jul-25,July,FDC,repacked from 1 L sample
AA7,"FAA 10%, TSF 50%, N 7%, Zn + B + Mo",1,250,ml,20250520,,19-Jul-27,CROP ALLIANCE,B2,19-Jul-25,July,FDC,repacked from 1 L sample
AA8,"OLI 5%, CHI 5%, SA 1%, N 7%, AA 10%, Mo 0.01%, Mn + Zn + B 2%)",1,250,ml,20250511,,19-Jul-27,CROP ALLIANCE,B2,19-Jul-25,July,FDC,repacked from 1 L sample
Nano Zn,Nano Zn 15%,1,250,ml,20241227,,19-Jul-27,CROP ALLIANCE,B2,19-Jul-25,July,FDC,repacked from 1 L sample
Nano Copper,Nano Cu 15%,1,250,ml,1131015,,19-Jul-27,CROP ALLIANCE,B2,19-Jul-25,July,FDC,repacked from 1 L sample
Nano Silver,Nano Silver 1%,1,250,ml,BBEAFAC,,19-Jul-27,CROP ALLIANCE,B2,19-Jul-25,July,FDC,repacked from 1 L sample
BIOCHAR,,2,18,Kg,,,11-Nov-27,ALCOM CARBON MARKETS PHIL. INC.,LAB,11-Nov-25,November,FDC,No STA. to be used in Fusarium Trial
VENERGY,Amino Acid,2,1,L,,,11-Nov-27,ROVENSA,LAB,11-Nov-25,November,FDC,
BIOCHAR + Chicken Dung,,2,43,kg,,,18-Nov-27,ALCOM CARBON MARKETS PHIL. INC.,Warehouse,18-Nov-25,November,FDC,will be used for FUSARIUM trial
Clethodim 240EC (Analytical Standard),Clethodim,1,1,g,,,26-Nov-24,,C1,27-Nov-22,November,FDC,
TURBO ROOT WG,,5,1,kg,25J4003,19-Nov-25,19-Nov-27,,C1,29-Nov-25,November,FDC,
Biological Oil,,1,1,Gal,,,16-Dec-28,ALCOM CARBON MARKETS PHIL. INC.,LAB,17-Dec-26,December,FDC,Ask supplier for the info of the product
VERNO Cu30 + Zn30,,30,100,g,,,09-Jan-28,Allied Botanical,C1,09-Jan-26,January,FDC,Sample for Lapanday
NORDOX 75WG,,12,250,g,,,09-Jan-28,Allied Botanical,C1,09-Jan-26,January,FDC,
Pineguard,Plant Based extract,1,500,ml,,,11-Feb-28,CHEMREZ,B2,11-Feb-26,February,FDC,
Golden Set,,1,1,kg,,,31-Mar-28,AgChem,C1,01-Apr-26,April,FDC,To be tested in Mango
Mangotone,,1,1,L,,,31-Mar-28,,A1,01-Apr-26,April,FDC,To be tested in Mango
Fenitrothion,,1,1,L,,,12-Apr-28,,A1,13-Apr-26,April,FDC,Samples for DMPI
